Product_ID,Product_Name,Category,Price,Discount,Promotion,Sales_Volume,Season,Customer_Age,Customer_Gender,Store_Location,Marketing_Channel,Day_of_Week,Month,Stock_Availability,Competitor_Price,Customer_Loyalty
1,Shoe,Equipment,215.02,0.09,20%Off,17,Winter,58,Female,Suburban,Email,Saturday,October,Low Stock,181.49,0
2,Hat,Apparel,209.31,0.36,None,195,Summer,32,Male,City,Email,Sunday,February,Low Stock,106.81,0
3,Shoe,Accessories,287.62,0.07,20%Off,318,Spring,30,Female,Suburban,In-Store,Thursday,November,Out of Stock,85.76,0
4,Shirt,Apparel,271.63,0.04,20%Off,351,Winter,23,Female,Suburban,TV,Monday,August,In Stock,213.07,0
5,Gloves,Accessories,115.55,0.48,Clearance,324,Summer,27,Female,Suburban,Social Media,Thursday,October,Low Stock,225.58,0
6,Shirt,Footwear,267.94,0.27,Buy1Get1,309,Fall,43,Female,Suburban,Online,Wednesday,April,Low Stock,193.36,1
7,Bag,Accessories,236.55,0.25,SeasonalSale,169,Summer,41,Male,City,TV,Tuesday,April,Low Stock,111.41,1
8,Shorts,Apparel,175.6,0.45,SeasonalSale,136,Spring,27,Male,Suburban,Online,Friday,March,In Stock,217.5,1
9,Shorts,Accessories,250.79,0.22,20%Off,232,Fall,26,Female,Rural,Email,Sunday,July,Low Stock,227.65,0
10,Ball,Equipment,216.51,0.47,SeasonalSale,182,Fall,19,Male,City,In-Store,Wednesday,November,Out of Stock,154.31,1
11,Hat,Apparel,93.77,0.08,20%Off,163,Winter,38,Male,Rural,Email,Monday,June,Low Stock,103.34,0
12,Gloves,Accessories,100.63,0.17,SeasonalSale,95,Fall,50,Female,Rural,Email,Sunday,May,Out of Stock,273.78,1
13,Bag,Footwear,244.79,0.07,None,389,Winter,58,Male,Suburban,TV,Saturday,November,Low Stock,160.81,1
14,Shorts,Apparel,279.68,0.47,20%Off,25,Winter,35,Female,Rural,In-Store,Tuesday,April,In Stock,96.74,1
15,Shirt,Accessories,51.64,0.45,SeasonalSale,439,Summer,50,Female,Suburban,In-Store,Saturday,June,In Stock,151.46,1
16,Shirt,Apparel,37.44,0.05,Buy1Get1,183,Winter,61,Male,City,Social Media,Saturday,May,In Stock,269.21,1
17,Bag,Accessories,86.83,0.21,None,469,Winter,20,Male,City,Online,Thursday,July,Out of Stock,256.3,0
18,Bag,Equipment,128.78,0.38,Buy1Get1,198,Summer,45,Female,Suburban,Email,Wednesday,May,Out of Stock,83.05,1
19,Bag,Equipment,10.8,0.04,20%Off,429,Summer,53,Female,Rural,Online,Monday,March,In Stock,56.33,0
20,Bag,Footwear,52.12,0.2,Clearance,154,Fall,23,Female,Rural,TV,Wednesday,August,In Stock,90.21,1
21,Shirt,Equipment,248.41,0.03,Clearance,91,Winter,47,Female,Rural,Online,Sunday,August,Low Stock,155.47,0
22,Shorts,Equipment,132.16,0.12,Clearance,40,Fall,58,Female,City,In-Store,Wednesday,June,Low Stock,294.46,1
23,Shorts,Footwear,171.22,0.08,Buy1Get1,296,Winter,18,Male,Suburban,Email,Sunday,November,In Stock,88.04,0
24,Bag,Apparel,79.71,0.29,20%Off,441,Fall,40,Male,Suburban,Email,Saturday,July,Low Stock,29.46,1
25,Gloves,Accessories,135.99,0.44,Buy1Get1,189,Winter,35,Male,City,Email,Tuesday,February,Out of Stock,68.11,1
26,Gloves,Footwear,168.58,0.13,Buy1Get1,394,Summer,45,Male,Rural,Online,Monday,January,Out of Stock,92.83,0
27,Ball,Accessories,61.32,0.32,20%Off,436,Spring,47,Male,Rural,In-Store,Tuesday,December,Out of Stock,21.55,0
28,Shirt,Footwear,36.16,0.17,SeasonalSale,23,Summer,40,Female,Rural,TV,Saturday,October,Low Stock,31.56,0
29,Shirt,Apparel,125.88,0.11,Clearance,341,Summer,48,Male,City,In-Store,Thursday,January,Out of Stock,116.3,1
30,Bag,Accessories,233.94,0.46,20%Off,210,Spring,24,Female,Suburban,TV,Saturday,September,Out of Stock,288.56,0
31,Shirt,Apparel,124.85,0.26,20%Off,137,Winter,27,Male,City,TV,Tuesday,January,In Stock,130.87,0
32,Shorts,Footwear,211.62,0.43,SeasonalSale,239,Winter,38,Male,City,Online,Thursday,December,Out of Stock,34.1,1
33,Bag,Footwear,285.67,0.38,20%Off,438,Summer,56,Female,Rural,In-Store,Sunday,February,In Stock,244.9,1
34,Bag,Footwear,209.04,0.07,Buy1Get1,413,Summer,35,Male,Rural,In-Store,Tuesday,August,Low Stock,222.08,0
35,Shoe,Footwear,113.5,0.27,Clearance,473,Winter,47,Female,City,Online,Wednesday,March,Out of Stock,118.3,0
36,Shirt,Accessories,134.86,0.2,SeasonalSale,96,Summer,20,Male,City,Email,Sunday,August,Out of Stock,208.79,0
37,Shirt,Apparel,256.7,0.11,SeasonalSale,97,Spring,54,Female,Rural,In-Store,Friday,May,In Stock,130.14,0
38,Hat,Accessories,205.48,0.21,SeasonalSale,127,Summer,45,Female,City,In-Store,Tuesday,October,Out of Stock,280.67,0
39,Shirt,Apparel,61.34,0.16,20%Off,105,Spring,51,Male,Rural,Email,Sunday,March,Low Stock,24.7,0
40,Gloves,Apparel,233.71,0.04,Clearance,351,Winter,25,Male,Rural,Social Media,Thursday,January,Low Stock,68.58,1
41,Shirt,Footwear,161.76,0.47,Buy1Get1,410,Winter,25,Female,Rural,Social Media,Friday,November,Out of Stock,227.72,1
42,Shorts,Equipment,174.07,0.27,None,367,Fall,35,Female,Suburban,Social Media,Friday,December,In Stock,23.42,1
43,Ball,Footwear,217.67,0.16,20%Off,134,Spring,23,Male,City,Social Media,Wednesday,April,In Stock,15.11,1
44,Hat,Equipment,58.88,0.19,Clearance,409,Summer,38,Male,Rural,In-Store,Sunday,February,Out of Stock,225.84,0
45,Shorts,Apparel,140.29,0.18,20%Off,270,Summer,32,Male,City,Email,Friday,February,In Stock,260.3,1
46,Shirt,Equipment,41.47,0.4,SeasonalSale,336,Winter,21,Male,Suburban,Email,Wednesday,August,Out of Stock,284.83,0
47,Shirt,Apparel,46.5,0.05,Buy1Get1,115,Winter,56,Male,City,Social Media,Friday,April,Low Stock,68.85,0
48,Shirt,Apparel,221.81,0.26,SeasonalSale,321,Summer,29,Male,Suburban,TV,Saturday,December,Out of Stock,19.84,0
49,Shorts,Apparel,291.65,0.22,None,405,Spring,37,Male,City,Social Media,Friday,September,Out of Stock,56.35,1
50,Shoe,Accessories,218.44,0.5,Buy1Get1,376,Winter,40,Female,Suburban,Social Media,Monday,January,Low Stock,145.77,1
51,Hat,Apparel,265.65,0.29,20%Off,203,Fall,41,Female,Suburban,Email,Thursday,August,Low Stock,110.21,1
52,Hat,Equipment,75.96,0.3,None,28,Fall,32,Male,Rural,In-Store,Monday,July,Out of Stock,175.03,1
53,Gloves,Equipment,83.13,0.44,SeasonalSale,324,Fall,33,Female,Suburban,Social Media,Sunday,July,Low Stock,38.41,0
54,Gloves,Equipment,18.84,0.3,Clearance,31,Fall,31,Female,Rural,Online,Saturday,June,Low Stock,109.75,1
55,Shorts,Footwear,159.6,0.34,Clearance,204,Winter,46,Male,Rural,Email,Sunday,October,In Stock,217.37,0
56,Hat,Footwear,289.66,0.24,SeasonalSale,417,Winter,43,Female,Suburban,In-Store,Thursday,January,Low Stock,220.84,0
57,Shorts,Footwear,162.6,0.15,SeasonalSale,110,Winter,57,Female,Suburban,Email,Saturday,June,Low Stock,218.04,0
